time,input_1
1742328120000,37.65833333367482
1742328180000,39.10000000032596
1742328240000,34.26666666637175
1742328300000,36.03333333351959
1742328360000,37.43333333327124
1742328420000,35.483333333395414
1742328480000,39.30833333327124
1742328540000,36.39378687370879
1742328600000,38.139604653503966
1742328660000,38.38116188365641
1742328720000,37.43541020782715
1742328780000,38.716666666635625
1742328840000,37.75000000023283
1742328900000,38.39166666652696
1742328960000,37.416666666201
1742329020000,34.06666666696159
1742329080000,36.02499999998447
1742329140000,36.88333333314707
1742329200000,37.17500000027941
1742329260000,38.72500000017074
1742329320000,37.28333333313154
1742329380000,39.78333333313155
1742329440000,37.2833333335196
1742329500000,37.36666666654249
1742329560000,36.47923471808903
1742329620000,37.29581972112848
1742329680000,35.96666666679085
1742329740000,37.19376020789994
1742329800000,37.456248541385214
1742329860000,37.15833333320915
1742329920000,38.84166666694606
1742329980000,39.20000000003105
1742330040000,34.26666666675979
1742330100000,37.55208159732666
1742330160000,37.46458215270738
1742330220000,36.152128261910086
1742330280000,38.22294076517336
1742330340000,36.9833333332402
1742330400000,38.4666666664028
1742330460000,38.18333333358168
1742330520000,34.8333333331781
1742330580000,39.008333333379895
1742330640000,36.8916666666822
1742330700000,43.333333333333336
1742330760000,38.19999999987582
1742330820000,35.97499999993792
1742330880000,37.80833333342646
1742330940000,36.96666666655801
1742331000000,38.75000000038805
1742331060000,39.15833333313154
1742331120000,34.758333333302296
1742331180000,38.89999999975164
1742331240000,37.55833333358169
1742331300000,37.80833333342646
1742331360000,37.68333333311602
1742331420000,36.94587027576508
1742331480000,36.2874191611222
1742331540000,38.09999999978268
1742331600000,37.85000000032597
1742331660000,37.35833333300738
1742331720000,36.42499999996895
1742331780000,38.87499999992239
1742331840000,37.150000000062086
1742331900000,36.70000000003104
1742331960000,38.658333333442
1742332020000,36.9583333330229
1742332080000,37.49166666685293
1742332140000,37.45833333348856
1742332200000,37.85833333308498
1742332260000,38.05000000012417
1742332320000,35.7333333332402
1742332380000,37.53333333375243
1742332440000,38.949999999798216
1742332500000,35.45000000003105
1742332560000,38.64999999990686
1742332620000,36.44999999979821
1742332680000,35.3000000002794
1742332740000,36.44166666665114
1742332800000,36.58333333364377
1742332860000,38.73333333292977
1742332920000,37.65833333328676
1742332980000,37.64166666660458
1742333040000,36.36666666677533
1742333100000,36.62500000015522
1742333160000,37.70833333333334
1742333220000,35.68333333319364
1742333280000,35.21913014497584
1742333340000,35.93098849798986
1742333400000,35.20000000018626
1742333460000,36.18333333327124
1742333520000,36.70000000003104
1742333580000,38.54166666666667
1742333640000,35.508333333224684
1742333700000,37.00833333345751
1742333760000,39.05833333342647
1742333820000,35.599999999782696
1742333880000,36.75000000007761
