time,input_1,input_2
1742328120000,37.65833333367482,26.61342337152216
1742328180000,39.10000000032596,26.58420982978119
1742328240000,34.26666666637175,26.562016787209018
1742328300000,36.03333333351959,26.539056261896587
1742328360000,37.43333333327124,26.54120127776036
1742328420000,35.483333333395414,26.54952059387421
1742328480000,39.308333333271236,26.57103962916808
1742328540000,36.39378687370879,26.58722072360832
1742328600000,38.139604653503966,26.60234898916127
1742328660000,38.38116188365641,26.617246025939934
1742328720000,37.43541020782715,26.633392682052083
1742328780000,38.716666666635625,26.65211729300966
1742328840000,37.75000000023283,26.672234196374244
1742328900000,38.39166666652696,26.69242489615614
1742328960000,37.416666666201,26.71235484859681
1742329020000,34.06666666696159,26.732048652502016
1742329080000,36.02499999998447,26.73156651590879
1742329140000,36.88333333314707,26.72695669970614
1742329200000,37.175000000279404,26.72249939609931
1742329260000,38.72500000017074,26.718484870996484
1742329320000,37.28333333313154,26.713220726560174
1742329380000,39.78333333313155,26.70994416563065
1742329440000,37.2833333335196,26.68691476366204
1742329500000,37.36666666654249,26.660116824648405
1742329560000,36.479234718089025,26.63121322786022
1742329620000,37.295819721128474,26.606270038802148
1742329680000,35.96666666679085,26.590708834267506
1742329740000,37.19376020789994,26.577868257651826
1742329800000,37.456248541385214,26.563635388629148
1742329860000,37.15833333320915,26.548831827312448
1742329920000,38.84166666694606,26.53889390977846
1742329980000,39.20000000003105,26.525207134244056
1742330040000,34.26666666675979,26.52937417194271
1742330100000,37.55208159732666,26.537250709552552
1742330160000,37.46458215270738,26.54753301036741
1742330220000,36.152128261910086,26.554612546670075
1742330280000,38.222940765173355,26.56429955638514
1742330340000,36.983333333240196,26.587009173878627
1742330400000,38.466666666402794,26.60973355065559
1742330460000,38.18333333358168,26.632477606477156
1742330520000,34.8333333331781,26.649741048371588
1742330580000,39.008333333379895,26.74394955473702
1742330640000,36.8916666666822,26.846103475368476
1742330700000,43.333333333333336,26.769360121104846
1742330760000,38.19999999987582,26.769719263669177
1742330820000,35.97499999993792,26.772513688005482
1742330880000,37.80833333342646,26.748278944553803
1742330940000,36.96666666655801,26.704994885908285
1742331000000,38.75000000038805,26.656618874466886
1742331060000,39.158333333131544,26.614200693784717
1742331120000,34.758333333302296,26.574193196068705
1742331180000,38.89999999975164,26.46138307277458
1742331240000,37.55833333358169,26.357792581885732
1742331300000,37.80833333342646,26.431441406382604
1742331360000,37.68333333311602,26.426772553046085
1742331420000,36.94587027576508,26.418271205769507
1742331480000,36.287419161122195,26.43225316697325
1742331540000,38.09999999978268,26.4537426837002
1742331600000,37.85000000032597,26.481111315007876
1742331660000,37.35833333300738,26.503264999490817
1742331720000,36.42499999996895,26.525138257587866
1742331780000,38.87499999992239,26.544453239884103
1742331840000,37.150000000062086,26.5458553718134
1742331900000,36.70000000003104,26.550819410819248
1742331960000,38.658333333441995,26.55696911226354
1742332020000,36.9583333330229,26.564201161162025
1742332080000,37.49166666685293,26.51587434733218
1742332140000,37.45833333348856,26.471749009529088
1742332200000,37.85833333308498,26.43209573461628
1742332260000,38.05000000012417,26.42181343380142
